filename,onset_method,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error,threshold
B1Dr1S2phr1v1,SuperFlux,281.0,189.0,399.0,92.0,0.32142857142857145,0.6725978647686833,0.4349827387802071,-1.6920635856541926,13.276966836370166,0.6
B1Dr1S2phr1v1,SuperFlux,402.0,246.0,342.0,156.0,0.41836734693877553,0.6119402985074627,0.49696969696969695,-5.291297138679365,9.561259559397035,0.6
B1Dr1S2phr1v1,SuperFlux,641.0,401.0,187.0,240.0,0.6819727891156463,0.625585023400936,0.6525630593978845,-0.9428516983819111,8.724003176073923,0.6
B1Dr1S2phr1v1,SuperFlux,641.0,401.0,187.0,240.0,0.6819727891156463,0.625585023400936,0.6525630593978845,-0.9428516983819111,8.724003176073923,0.6
B1Dr1S2phr2v2,SuperFlux,107.0,69.0,123.0,38.0,0.359375,0.6448598130841121,0.4615384615384615,-0.444799388412899,11.32510051545802,0.6
B1Dr1S2phr2v2,SuperFlux,107.0,61.0,131.0,46.0,0.3177083333333333,0.5700934579439252,0.4080267558528428,-5.7807667912688,8.85515632173468,0.6
B1Dr1S2phr2v2,SuperFlux,253.0,145.0,47.0,108.0,0.7552083333333334,0.5731225296442688,0.651685393258427,-1.3847700431764676,8.47875380393447,0.6
B1Dr1S2phr2v2,SuperFlux,253.0,145.0,47.0,108.0,0.7552083333333334,0.5731225296442688,0.651685393258427,-1.3847700431764676,8.47875380393447,0.6
B1Dr2S2phr1v1,SuperFlux,285.0,183.0,400.0,102.0,0.313893653516295,0.6421052631578947,0.42165898617511516,1.9794481474796157,12.379673509943297,0.6
B1Dr2S2phr1v1,SuperFlux,381.0,188.0,395.0,193.0,0.32246998284734135,0.49343832020997375,0.3900414937759336,-4.912289339651108,11.448697004001847,0.6
B1Dr2S2phr1v1,SuperFlux,893.0,488.0,95.0,405.0,0.8370497427101201,0.5464725643896976,0.6612466124661246,1.2970045238228152,9.324044693669578,0.6
B1Dr2S2phr1v1,SuperFlux,893.0,488.0,95.0,405.0,0.8370497427101201,0.5464725643896976,0.6612466124661246,1.2970045238228152,9.324044693669578,0.6
B1Dr2S2phr2v2,SuperFlux,109.0,72.0,123.0,37.0,0.36923076923076925,0.6605504587155964,0.47368421052631576,-1.068467484487634,12.046710124809383,0.6
B1Dr2S2phr2v2,SuperFlux,104.0,51.0,144.0,53.0,0.26153846153846155,0.49038461538461536,0.3411371237458194,-2.769117626649118,12.640471148632342,0.6
B1Dr2S2phr2v2,SuperFlux,334.0,165.0,30.0,169.0,0.8461538461538461,0.4940119760479042,0.6238185255198488,-0.15492462083084638,8.251965132588602,0.6
B1Dr2S2phr2v2,SuperFlux,334.0,165.0,30.0,169.0,0.8461538461538461,0.4940119760479042,0.6238185255198488,-0.15492462083084638,8.251965132588602,0.6
B1Dr3S2phr1v1,SuperFlux,280.0,188.0,335.0,92.0,0.35946462715105165,0.6714285714285714,0.46824408468244083,-4.032961442369503,12.426566883325501,0.6
B1Dr3S2phr1v1,SuperFlux,346.0,157.0,366.0,189.0,0.30019120458891013,0.45375722543352603,0.3613348676639816,-5.633061869126136,11.122280454413099,0.6
B1Dr3S2phr1v1,SuperFlux,748.0,420.0,103.0,328.0,0.8030592734225621,0.5614973262032086,0.6608969315499607,-0.2766869167532564,8.473220498871816,0.6
B1Dr3S2phr1v1,SuperFlux,748.0,420.0,103.0,328.0,0.8030592734225621,0.5614973262032086,0.6608969315499607,-0.2766869167532564,8.473220498871816,0.6
B1Dr3S2phr2v2,SuperFlux,100.0,81.0,84.0,19.0,0.4909090909090909,0.81,0.6113207547169811,-1.598721173368194,10.67797132386897,0.6
B1Dr3S2phr2v2,SuperFlux,133.0,55.0,110.0,78.0,0.3333333333333333,0.41353383458646614,0.3691275167785235,-2.3420395892015025,11.623409743930862,0.6
B1Dr3S2phr2v2,SuperFlux,230.0,127.0,38.0,103.0,0.7696969696969697,0.5521739130434783,0.6430379746835443,-1.3065969463631626,7.367913979673206,0.6
B1Dr3S2phr2v2,SuperFlux,230.0,127.0,38.0,103.0,0.7696969696969697,0.5521739130434783,0.6430379746835443,-1.3065969463631626,7.367913979673206,0.6
B2Dr1S2phr1v1,SuperFlux,262.0,161.0,423.0,101.0,0.2756849315068493,0.6145038167938931,0.3806146572104019,-2.2619689122992637,11.467379748737422,0.6
B2Dr1S2phr1v1,SuperFlux,312.0,175.0,409.0,137.0,0.2996575342465753,0.5608974358974359,0.390625,-5.76998076328528,11.445804588276237,0.6
B2Dr1S2phr1v1,SuperFlux,761.0,458.0,126.0,303.0,0.7842465753424658,0.6018396846254928,0.6810408921933087,1.139009223580287,8.69295277496825,0.6
B2Dr1S2phr1v1,SuperFlux,761.0,458.0,126.0,303.0,0.7842465753424658,0.6018396846254928,0.6810408921933087,1.139009223580287,8.69295277496825,0.6
B2Dr1S2phr2v2,SuperFlux,104.0,52.0,146.0,52.0,0.26262626262626265,0.5,0.34437086092715236,-4.42174762336724,11.178673194637913,0.6
B2Dr1S2phr2v2,SuperFlux,141.0,63.0,135.0,78.0,0.3181818181818182,0.44680851063829785,0.37168141592920345,-4.685520332842637,11.53158955130149,0.6
B2Dr1S2phr2v2,SuperFlux,277.0,166.0,32.0,111.0,0.8383838383838383,0.5992779783393501,0.6989473684210525,0.8694754981469511,8.53500907602134,0.6
B2Dr1S2phr2v2,SuperFlux,277.0,166.0,32.0,111.0,0.8383838383838383,0.5992779783393501,0.6989473684210525,0.8694754981469511,8.53500907602134,0.6
